Richness,Distance,Habitat
11,0.045,1
10,-1.036,1
13,-1.336,1
11,0.616,1
10,-0.684,1
8,1.19,2
9,0.82,2
8,0.635,2
19,0.061,2
17,-1.334,2
6,-0.976,3
1,1.494,3
4,-0.201,3
3,-0.482,3
3,0.167,3
1,1.768,4
3,-0.03,4
3,0.46,4
1,1.367,4
4,-0.811,4
3,1.117,5
22,-0.503,5
6,0.729,5
0,1.627,5
6,0.054,5
5,-0.578,6
4,-0.348,6
1,2.222,6
6,-0.893,6
4,0.766,6
2,0.883,7
1,1.786,7
1,1.375,7
3,-0.06,7
4,0.367,7
3,1.671,8
5,-0.375,8
7,-1.005,8
5,0.17,8
0,2.052,8
7,-0.356,9
11,0.094,9
3,-0.002,9
0,2.255,9
2,0.865,9